date,hour,temp_c,precip_mm,wind_kmh,snow_depth_mm,is_raining,is_snowing,is_bad_weather,wind_strong
2023-01-01,0,0.0,0.0,0.0,0.0,0,0,0,0
2023-01-01,1,11.7,0.0,3.0,0.0,0,0,0,0
2023-01-01,2,11.7,0.0,3.0,0.0,0,0,0,0
2023-01-01,3,11.7,0.0,3.0,0.0,0,0,0,0
2023-01-01,4,12.2,0.0,4.0,0.0,0,0,0,0
2023-01-01,5,12.2,0.0,4.0,0.0,0,0,0,0
2023-01-01,6,12.2,0.0,4.0,0.0,0,0,0,0
2023-01-01,7,11.1,0.0,4.0,0.0,0,0,0,0
2023-01-01,8,11.1,0.0,4.0,0.0,0,0,0,0
2023-01-01,9,11.1,0.0,4.0,0.0,0,0,0,0
2023-01-01,10,10.6,0.0,6.0,0.0,0,0,0,0
2023-01-01,11,10.6,0.0,6.0,0.0,0,0,0,0
2023-01-01,12,10.6,0.0,6.0,0.0,0,0,0,0
2023-01-01,13,11.1,0.0,8.0,0.0,0,0,0,0
2023-01-01,14,11.1,0.0,8.0,0.0,0,0,0,0
2023-01-01,15,11.1,0.0,8.0,0.0,0,0,0,0
2023-01-01,16,10.6,0.0,4.0,0.0,0,0,0,0
2023-01-01,17,10.6,0.0,4.0,0.0,0,0,0,0
2023-01-01,18,10.6,0.0,4.0,0.0,0,0,0,0
2023-01-01,19,10.0,0.0,0.0,0.0,0,0,0,0
2023-01-01,20,10.0,0.0,0.0,0.0,0,0,0,0
2023-01-01,21,10.0,0.0,0.0,0.0,0,0,0,0
2023-01-01,22,10.6,0.0,3.0,0.0,0,0,0,0
2023-01-01,23,10.6,0.0,3.0,0.0,0,0,0,0
2023-01-02,0,10.6,0.0,3.0,0.0,0,0,0,0
2023-01-02,1,10.0,0.0,0.0,0.0,0,0,0,0
2023-01-02,2,10.0,0.0,0.0,0.0,0,0,0,0
2023-01-02,3,10.0,0.0,0.0,0.0,0,0,0,0
2023-01-02,4,9.4,0.0,3.0,0.0,0,0,0,0
2023-01-02,5,9.4,0.0,3.0,0.0,0,0,0,0
2023-01-02,6,9.4,0.0,3.0,0.0,0,0,0,0
2023-01-02,7,10.0,0.0,1.0,0.0,0,0,0,0
2023-01-02,8,10.0,0.0,1.0,0.0,0,0,0,0
2023-01-02,9,10.0,0.0,1.0,0.0,0,0,0,0
2023-01-02,10,10.0,0.0,3.0,0.0,0,0,0,0
2023-01-02,11,10.0,0.0,3.0,0.0,0,0,0,0
2023-01-02,12,10.0,0.0,3.0,0.0,0,0,0,0
2023-01-02,13,12.8,0.0,3.0,0.0,0,0,0,0
2023-01-02,14,12.8,0.0,3.0,0.0,0,0,0,0
2023-01-02,15,12.8,0.0,3.0,0.0,0,0,0,0
2023-01-02,16,12.8,0.0,3.0,0.0,0,0,0,0
2023-01-02,17,12.8,0.0,3.0,0.0,0,0,0,0
2023-01-02,18,12.8,0.0,3.0,0.0,0,0,0,0
2023-01-02,19,12.8,0.0,4.0,0.0,0,0,0,0
2023-01-02,20,12.8,0.0,4.0,0.0,0,0,0,0
2023-01-02,21,12.8,0.0,4.0,0.0,0,0,0,0
2023-01-02,22,11.7,0.0,1.0,0.0,0,0,0,0
2023-01-02,23,11.7,0.0,1.0,0.0,0,0,0,0
2023-01-03,0,11.7,0.0,1.0,0.0,0,0,0,0
2023-01-03,1,10.6,0.0,2.0,0.0,0,0,0,0
2023-01-03,2,10.6,0.0,2.0,0.0,0,0,0,0
2023-01-03,3,10.6,0.0,2.0,0.0,0,0,0,0
2023-01-03,4,6.7,0.0,3.0,0.0,0,0,0,0
2023-01-03,5,6.7,0.0,3.0,0.0,0,0,0,0
2023-01-03,6,6.7,0.0,3.0,0.0,0,0,0,0
2023-01-03,7,6.1,0.0,4.0,0.0,0,0,0,0
2023-01-03,8,6.1,0.0,4.0,0.0,0,0,0,0
2023-01-03,9,6.1,0.0,4.0,0.0,0,0,0,0
2023-01-03,10,8.3,0.0,3.0,0.0,0,0,0,0
2023-01-03,11,8.3,0.0,3.0,0.0,0,0,0,0
2023-01-03,12,8.9,0.001,2.0,0.0,0,0,0,0
2023-01-03,13,8.3,0.001,2.0,0.0,0,0,0,0
2023-01-03,14,8.3,0.001,2.0,0.0,0,0,0,0
2023-01-03,15,8.3,0.001,2.0,0.0,0,0,0,0
2023-01-03,16,11.7,0.001,3.0,0.0,0,0,0,0
2023-01-03,17,11.7,0.001,3.0,0.0,0,0,0,0
2023-01-03,18,11.7,0.001,3.0,0.0,0,0,0,0
2023-01-03,19,10.6,0.001,1.0,0.0,0,0,0,0
2023-01-03,20,10.6,0.001,1.0,0.0,0,0,0,0
2023-01-03,21,10.6,0.001,1.0,0.0,0,0,0,0
2023-01-03,22,10.6,0.001,2.0,0.0,0,0,0,0
2023-01-03,23,10.6,0.001,2.0,0.0,0,0,0,0
2023-01-04,0,10.6,0.001,2.0,0.0,0,0,0,0
2023-01-04,1,10.6,0.001,4.0,0.0,0,0,0,0
2023-01-04,2,10.6,0.001,4.0,0.0,0,0,0,0
2023-01-04,3,10.6,0.001,4.0,0.0,0,0,0,0
2023-01-04,4,13.9,0.001,4.0,0.0,0,0,0,0
2023-01-04,5,13.9,0.001,4.0,0.0,0,0,0,0
2023-01-04,6,13.9,0.001,4.0,0.0,0,0,0,0
2023-01-04,7,13.9,0.001,4.0,0.0,0,0,0,0
2023-01-04,8,13.9,0.001,4.0,0.0,0,0,0,0
2023-01-04,9,13.9,0.001,4.0,0.0,0,0,0,0
2023-01-04,10,16.1,0.001,4.0,0.0,0,0,0,0
2023-01-04,11,16.1,0.001,4.0,0.0,0,0,0,0
2023-01-04,12,16.1,0.001,4.0,0.0,0,0,0,0
2023-01-04,13,18.3,0.001,4.0,0.0,0,0,0,0
2023-01-04,14,18.3,0.001,4.0,0.0,0,0,0,0
2023-01-04,15,18.3,0.001,4.0,0.0,0,0,0,0
2023-01-04,16,16.1,0.001,1.0,0.0,0,0,0,0
2023-01-04,17,16.1,0.001,1.0,0.0,0,0,0,0
2023-01-04,18,16.1,0.001,1.0,0.0,0,0,0,0
2023-01-04,19,12.8,0.001,3.0,0.0,0,0,0,0
2023-01-04,20,12.8,0.001,3.0,0.0,0,0,0,0
2023-01-04,21,12.8,0.001,3.0,0.0,0,0,0,0
2023-01-04,22,7.2,0.001,4.0,0.0,0,0,0,0
2023-01-04,23,7.2,0.001,4.0,0.0,0,0,0,0
2023-01-05,0,7.2,0.001,4.0,0.0,0,0,0,0
2023-01-05,1,6.7,0.001,4.0,0.0,0,0,0,0
2023-01-05,2,8.9,0.001,2.0,0.0,0,0,0,0
2023-01-05,3,8.9,0.001,2.0,0.0,0,0,0,0
2023-01-05,4,7.8,0.001,4.0,0.0,0,0,0,0
2023-01-05,5,7.8,0.001,4.0,0.0,0,0,0,0
2023-01-05,6,7.8,0.001,4.0,0.0,0,0,0,0
2023-01-05,7,7.8,0.001,3.0,0.0,0,0,0,0
2023-01-05,8,7.8,0.001,3.0,0.0,0,0,0,0
2023-01-05,9,7.8,0.001,3.0,0.0,0,0,0,0
2023-01-05,10,7.8,0.001,6.0,0.0,0,0,0,0
2023-01-05,11,7.8,0.001,6.0,0.0,0,0,0,0
2023-01-05,12,7.8,0.001,6.0,0.0,0,0,0,0
2023-01-05,13,7.8,0.001,3.0,0.0,0,0,0,0
2023-01-05,14,7.8,0.001,3.0,0.0,0,0,0,0
2023-01-05,15,7.8,0.001,3.0,0.0,0,0,0,0
2023-01-05,16,7.8,0.001,4.0,0.0,0,0,0,0
2023-01-05,17,7.8,0.001,4.0,0.0,0,0,0,0
2023-01-05,18,7.8,0.001,4.0,0.0,0,0,0,0
2023-01-05,19,7.8,0.001,3.0,0.0,0,0,0,0
2023-01-05,20,7.8,0.001,3.0,0.0,0,0,0,0
2023-01-05,21,7.8,0.001,3.0,0.0,0,0,0,0
2023-01-05,22,6.7,0.001,4.0,0.0,0,0,0,0
2023-01-05,23,6.7,0.001,4.0,0.0,0,0,0,0
2023-01-06,0,6.7,0.001,4.0,0.0,0,0,0,0
2023-01-06,1,6.7,0.001,3.0,0.0,0,0,0,0
2023-01-06,2,6.7,0.001,3.0,0.0,0,0,0,0
2023-01-06,3,6.7,0.001,3.0,0.0,0,0,0,0
2023-01-06,4,5.6,0.001,4.0,0.0,0,0,0,0
2023-01-06,5,5.6,0.001,4.0,0.0,0,0,0,0
2023-01-06,6,5.6,0.001,4.0,0.0,0,0,0,0
2023-01-06,7,5.6,0.001,4.0,0.0,0,0,0,0
2023-01-06,8,5.6,0.001,4.0,0.0,0,0,0,0
2023-01-06,9,5.6,0.001,4.0,0.0,0,0,0,0
2023-01-06,10,6.1,0.001,2.0,0.0,0,0,0,0
2023-01-06,11,6.1,0.001,2.0,0.0,0,0,0,0
2023-01-06,12,6.1,0.001,2.0,0.0,0,0,0,0
2023-01-06,13,6.7,0.001,3.0,0.0,0,0,0,0
2023-01-06,14,6.7,0.001,3.0,0.0,0,0,0,0
2023-01-06,15,6.7,0.001,3.0,0.0,0,0,0,0
2023-01-06,16,8.9,0.001,5.0,0.0,0,0,0,0
2023-01-06,17,8.9,0.001,5.0,0.0,0,0,0,0
2023-01-06,18,8.9,0.001,5.0,0.0,0,0,0,0
2023-01-06,19,7.8,0.001,7.0,0.0,0,0,0,0
2023-01-06,20,7.8,0.001,7.0,0.0,0,0,0,0
2023-01-06,21,7.8,0.001,7.0,0.0,0,0,0,0
2023-01-06,22,6.1,0.001,7.0,0.0,0,0,0,0
2023-01-06,23,6.1,0.001,7.0,0.0,0,0,0,0
2023-01-07,0,6.1,0.001,7.0,0.0,0,0,0,0
2023-01-07,1,4.4,0.001,4.0,0.0,0,0,0,0
2023-01-07,2,4.4,0.001,4.0,0.0,0,0,0,0
2023-01-07,3,4.4,0.001,4.0,0.0,0,0,0,0
2023-01-07,4,3.9,0.001,6.0,0.0,0,0,0,0
2023-01-07,5,3.9,0.001,6.0,0.0,0,0,0,0
2023-01-07,6,3.9,0.001,6.0,0.0,0,0,0,0
2023-01-07,7,3.9,0.001,4.0,0.0,0,0,0,0
2023-01-07,8,3.9,0.001,4.0,0.0,0,0,0,0
